query_id,query_image_id,query_filename,query_path,product_id,product_key,split,category,article_type,product_name,relevant_catalog_item_ids,relevant_catalog_count
val_q006,13332,13332.jpg,data/images/13332.jpg,13332,gini and jony kids boys check blue shirts|shirts|men|blue,validation,Apparel,Shirts,Gini and Jony Kids Boys Check Blue Shirts,"13283,13315,13316,13324,13333,13334",6
test_q009,15354,15354.jpg,data/images/15354.jpg,15354,red tape men casual black casual shoes|casual shoes|men|black,test,Footwear,Casual Shoes,Red Tape Men Casual Black Casual Shoes,12507,1
test_q010,29314,29314.jpg,data/images/29314.jpg,29314,adidas unisex blue backpack|backpacks|unisex|blue,test,Accessories,Backpacks,ADIDAS Unisex Blue Backpack,"24324,29317",2
test_q011,43531,43531.jpg,data/images/43531.jpg,43531,french connection women off white top|tops|women|off white,test,Apparel,Tops,French Connection Women Off White Top,48501,1
test_q012,34650,34650.jpg,data/images/34650.jpg,34650,fila women top fuel black sports shoes|sports shoes|women|black,test,Footwear,Sports Shoes,Fila Women Top Fuel Black Sports Shoes,34651,1
test_q013,20054,20054.jpg,data/images/20054.jpg,20054,united colors of benetton women black muffler|mufflers|women|black,test,Accessories,Mufflers,United Colors Of Benetton Women Black Muffler,20063,1
test_q014,58188,58188.jpg,data/images/58188.jpg,58188,rocky s women blue handbag|handbags|women|blue,test,Accessories,Handbags,Rocky S Women Blue Handbag,58179,1
val_q007,40280,40280.jpg,data/images/40280.jpg,40280,scullers men grey trousers|trousers|men|grey,validation,Apparel,Trousers,Scullers Men Grey Trousers,"27610,27622",2
test_q015,27870,27870.jpg,data/images/27870.jpg,27870,scullers for her women white striped shirt|shirts|women|white,test,Apparel,Shirts,Scullers For Her Women White Striped Shirt,27868,1
val_q008,11378,11378.jpg,data/images/11378.jpg,11378,united colors of benetton men summer white shirts|shirts|men|white,validation,Apparel,Shirts,United Colors of Benetton Men Summer White Shirts,11473,1
test_q016,49674,49674.jpg,data/images/49674.jpg,49674,united colors of benetton men sunglass|sunglasses|men|black,test,Accessories,Sunglasses,United Colors of Benetton Men Sunglass,"49663,49665,49672,49675",4
val_q009,19115,19115.jpg,data/images/19115.jpg,19115,campbell men pack of 3 solid tshirts|tshirts|men|white,validation,Apparel,Tshirts,Campbell Men Pack of 3 Solid Tshirts,19113,1
test_q017,27209,27209.jpg,data/images/27209.jpg,27209,doodle kids boy check red shirt|shirts|men|red,test,Apparel,Shirts,Doodle Kids Boy Check Red Shirt,"27202,33487",2
test_q018,47734,47734.jpg,data/images/47734.jpg,47734,murcia women grey handbag|handbags|women|grey,test,Accessories,Handbags,Murcia Women Grey Handbag,"27703,27726,27733,47880",4
test_q019,33995,33995.jpg,data/images/33995.jpg,33995,femella women black top|tops|women|black,test,Apparel,Tops,Femella Women Black Top,"25969,33966,34000,54146,54987,59898",6
test_q020,46878,46878.jpg,data/images/46878.jpg,46878,lino perros men pack of 2 socks|socks|men|black,test,Accessories,Socks,Lino Perros Men Pack of 2 Socks,"46862,46863,46868,46872",4
val_q010,15747,15747.jpg,data/images/15747.jpg,15747,nike men ballista sl white sports shoes|sports shoes|men|white,validation,Footwear,Sports Shoes,Nike Men Ballista SL White Sports Shoes,13898,1
test_q021,27693,27693.jpg,data/images/27693.jpg,27693,murcia women maroon handbag|handbags|women|maroon,test,Accessories,Handbags,Murcia Women Maroon Handbag,"43334,57247,57266",3
val_q011,52407,52407.jpg,data/images/52407.jpg,52407,red rose women black nightdress|nightdress|women|black,validation,Apparel,Nightdress,Red Rose Women Black Nightdress,"52405,52410,52413",3
test_q022,32162,32162.jpg,data/images/32162.jpg,32162,playboy women playmate black ankle socks|socks|women|black,test,Accessories,Socks,Playboy Women Playmate Black Ankle Socks,32156,1
val_q012,42677,42677.jpg,data/images/42677.jpg,42677,alma women green kurta|kurtas|women|green,validation,Apparel,Kurtas,Alma Women Green Kurta,"42644,42659,42666,42668,42671,53411,53421,53426",8
val_q013,40589,40589.jpg,data/images/40589.jpg,40589,aurelia women printed white kurta|kurtas|women|white,validation,Apparel,Kurtas,Aurelia Women Printed White Kurta,"28765,31319",2
test_q023,51255,51255.jpg,data/images/51255.jpg,51255,park avenue men black belt|belts|men|black,test,Accessories,Belts,Park Avenue Men Black Belt,"51252,51259",2
test_q024,52884,52884.jpg,data/images/52884.jpg,52884,fnf orange printed sari|sarees|women|orange,test,Apparel,Sarees,FNF Orange Printed Sari,52917,1
test_q025,57991,57991.jpg,data/images/57991.jpg,57991,latin quarters women blue dress|dresses|women|blue,test,Apparel,Dresses,Latin Quarters Women Blue Dress,"38836,57989,57997,57998,58003",5
test_q026,25914,25914.jpg,data/images/25914.jpg,25914,femella women olive leggings|leggings|women|olive,test,Apparel,Leggings,Femella Women Olive Leggings,40495,1
test_q027,39745,39745.jpg,data/images/39745.jpg,39745,gini jony boys blue shorts|shorts|boys|blue,test,Apparel,Shorts,Gini Jony Boys Blue Shorts,36211,1
val_q014,48158,48158.jpg,data/images/48158.jpg,48158,fossil women red wallet|wallets|women|red,validation,Accessories,Wallets,Fossil Women Red Wallet,"48148,48151",2
test_q028,12130,12130.jpg,data/images/12130.jpg,12130,aurelia women printed green kurtas|kurtas|women|green,test,Apparel,Kurtas,Aurelia Women Printed Green Kurtas,12121,1
test_q029,48511,48511.jpg,data/images/48511.jpg,48511,french connection women black top|tops|women|black,test,Apparel,Tops,French Connection Women Black Top,"48088,48488,48502,48507,48513",5
val_q015,33884,33884.jpg,data/images/33884.jpg,33884,citizen men black dial eco-drive watch|watches|men|black,validation,Accessories,Watches,Citizen Men Black Dial Eco-Drive Watch,"33882,33883,33891,33914,33915",5
test_q030,16538,16538.jpg,data/images/16538.jpg,16538,basics men white slim fit checked shirt|shirts|men|white,test,Apparel,Shirts,Basics Men White Slim Fit Checked Shirt,"12172,12180,12183,12187,12936,12948,12950,14660,14665,14667,14668,16544,16548",13
test_q031,14808,14808.jpg,data/images/14808.jpg,14808,united colors of benetton women solid maroon handbags|handbags|women|maroon,test,Accessories,Handbags,United Colors of Benetton Women Solid Maroon Handbags,"14794,14797,14802,14811",4
test_q032,29607,29607.jpg,data/images/29607.jpg,29607,indigo nation men striped purple shirt|shirts|men|purple,test,Apparel,Shirts,Indigo Nation Men Striped Purple Shirt,"29632,29652,29665,31635,31648,32759",6
val_q016,21075,21075.jpg,data/images/21075.jpg,21075,clarks men brown leather sandals|sandals|men|brown,validation,Footwear,Sandals,Clarks Men Brown Leather Sandals,"10303,34119,50776",3
test_q033,54580,54580.jpg,data/images/54580.jpg,54580,sushilas women printed red kurta|kurtas|women|red,test,Apparel,Kurtas,Sushilas Women Printed Red Kurta,"54570,54590",2
test_q034,14096,14096.jpg,data/images/14096.jpg,14096,flying machine men stripes blue tshirts|tshirts|men|blue,test,Apparel,Tshirts,Flying Machine Men Stripes Blue Tshirts,14105,1
test_q035,10457,10457.jpg,data/images/10457.jpg,10457,flying machine men pink polo tshirts|tshirts|men|pink,test,Apparel,Tshirts,Flying Machine Men Pink Polo Tshirts,10436,1
val_q017,26134,26134.jpg,data/images/26134.jpg,26134,john miller men black trousers|trousers|men|black,validation,Apparel,Trousers,John Miller Men Black Trousers,"10262,26136,26138,26154,26157,26162,26169",7
test_q036,27999,27999.jpg,data/images/27999.jpg,27999,jockey zone men grey tanga brief us18|briefs|men|grey,test,Apparel,Briefs,Jockey ZONE Men Grey Tanga Brief US18,28002,1
val_q018,36234,36234.jpg,data/images/36234.jpg,36234,w women pink kurta|kurtas|women|pink,validation,Apparel,Kurtas,W Women Pink Kurta,42416,1
val_q019,59763,59763.jpg,data/images/59763.jpg,59763,rocia women black wedges|heels|women|black,validation,Footwear,Heels,Rocia Women Black Wedges,"34458,50160,50165,50177,57302",5
test_q037,47207,47207.jpg,data/images/47207.jpg,47207,franco leone men brown shoes|formal shoes|men|brown,test,Footwear,Formal Shoes,Franco Leone Men Brown Shoes,"11903,47190",2
test_q038,42239,42239.jpg,data/images/42239.jpg,42239,sepia women blue tunic|tunics|women|blue,test,Apparel,Tunics,Sepia Women Blue Tunic,"33183,42249",2
test_q039,12996,12996.jpg,data/images/12996.jpg,12996,timberland kids boys brown casual shoes|casual shoes|boys|brown,test,Footwear,Casual Shoes,Timberland Kids Boys Brown Casual Shoes,12995,1
val_q020,59065,59065.jpg,data/images/59065.jpg,59065,peri peri women blue bra|bra|women|blue,validation,Apparel,Bra,Peri Peri Women Blue Bra,59068,1
test_q040,54382,54382.jpg,data/images/54382.jpg,54382,baggit women olive handbag|handbags|women|olive,test,Accessories,Handbags,Baggit Women Olive Handbag,"47334,47394,54406,58268",4
test_q041,39717,39717.jpg,data/images/39717.jpg,39717,arrow woman red top|tops|women|red,test,Apparel,Tops,Arrow Woman Red Top,"27259,44642",2
val_q021,29115,29115.jpg,data/images/29115.jpg,29115,puma men foundation quarters white socks|socks|men|white,validation,Accessories,Socks,Puma Men Foundation Quarters White Socks,19499,1
val_q022,16341,16341.jpg,data/images/16341.jpg,16341,peter england men check blue shirt|shirts|men|blue,validation,Apparel,Shirts,Peter England Men Check Blue Shirt,"16343,16362,16363,16367",4
test_q042,23837,23837.jpg,data/images/23837.jpg,23837,adidas men white razor sports shoes|sports shoes|men|white,test,Footwear,Sports Shoes,ADIDAS Men White Razor Sports Shoes,23848,1
test_q043,33602,33602.jpg,data/images/33602.jpg,33602,lino perros women black wallet|wallets|women|black,test,Accessories,Wallets,Lino Perros Women Black Wallet,"33609,33622",2
test_q044,31723,31723.jpg,data/images/31723.jpg,31723,fabindia women ananya gold pendant|pendant|women|gold,test,Accessories,Pendant,Fabindia Women Ananya Gold Pendant,35335,1
test_q045,33074,33074.jpg,data/images/33074.jpg,33074,u.s.polo assn. men green polo t-shirt|tshirts|men|green,test,Apparel,Tshirts,U.S.Polo Assn. Men Green Polo T-shirt,33073,1
val_q023,38581,38581.jpg,data/images/38581.jpg,38581,nike men red t-shirt|tshirts|men|red,validation,Apparel,Tshirts,Nike Men Red T-shirt,"22596,22616",2
val_q024,32206,32206.jpg,data/images/32206.jpg,32206,fabindia women green kurta|kurtas|women|green,validation,Apparel,Kurtas,Fabindia Women Green Kurta,"30838,46018",2
val_q025,51815,51815.jpg,data/images/51815.jpg,51815,bwitch black bra|bra|women|black,validation,Apparel,Bra,Bwitch Black Bra,"39533,51867",2
test_q046,42663,42663.jpg,data/images/42663.jpg,42663,alma women cream printed kurta|kurtas|women|cream,test,Apparel,Kurtas,Alma Women Cream Printed Kurta,"42646,53424",2
val_q026,22832,22832.jpg,data/images/22832.jpg,22832,woodland men brown shoes|casual shoes|men|brown,validation,Footwear,Casual Shoes,Woodland Men Brown Shoes,"22841,22862,38774,38779,38785,43478,50377",7
test_q047,17644,17644.jpg,data/images/17644.jpg,17644,converse unisex casual green slipper|flip flops|unisex|green,test,Footwear,Flip Flops,Converse Unisex Casual Green Slipper,17649,1
test_q048,50946,50946.jpg,data/images/50946.jpg,50946,lee womens blue roxy fit jeans|jeans|women|blue,test,Apparel,Jeans,Lee Womens Blue Roxy Fit Jeans,"50952,50955",2
test_q049,30610,30610.jpg,data/images/30610.jpg,30610,nike men black shorts|shorts|men|black,test,Apparel,Shorts,Nike Men Black Shorts,"22604,28514,30609,30634,32649,44625",6
val_q027,58261,58261.jpg,data/images/58261.jpg,58261,baggit women brown purse|clutches|women|brown,validation,Accessories,Clutches,Baggit Women Brown Purse,47302,1
test_q050,25118,25118.jpg,data/images/25118.jpg,25118,lino perros women beaded black clutch|clutches|women|black,test,Accessories,Clutches,Lino Perros Women Beaded Black Clutch,25120,1
val_q028,39786,39786.jpg,data/images/39786.jpg,39786,peter england men blue formal shirt|shirts|men|blue,validation,Apparel,Shirts,Peter England Men Blue Formal Shirt,"39790,39798",2
val_q029,43686,43686.jpg,data/images/43686.jpg,43686,doodle boys printed white t-shirt|tshirts|boys|white,validation,Apparel,Tshirts,Doodle Boys Printed White T-shirt,"34099,35452,35453,41745,41754,43685,43692,43693,43697",9
val_q030,52356,52356.jpg,data/images/52356.jpg,52356,red rose women white nightdress|nightdress|women|white,validation,Apparel,Nightdress,Red Rose Women White Nightdress,52429,1
test_q051,35208,35208.jpg,data/images/35208.jpg,35208,wildcraft unisex blue & grey backpack|backpacks|unisex|blue,test,Accessories,Backpacks,Wildcraft Unisex Blue & Grey Backpack,"7092,7097,32860,35187,35201,35211,38136",7
val_q031,59470,59470.jpg,data/images/59470.jpg,59470,lucera gold plated ring|ring|women|gold,validation,Accessories,Ring,Lucera Gold Plated Ring,59469,1
val_q032,18406,18406.jpg,data/images/18406.jpg,18406,skechers men usa black shoe|casual shoes|men|black,validation,Footwear,Casual Shoes,Skechers Men USA Black Shoe,18402,1
test_q052,7869,7869.jpg,data/images/7869.jpg,7869,provogue men's formal black shoe|formal shoes|men|black,test,Footwear,Formal Shoes,Provogue Men's Formal Black Shoe,"7858,7860,7863,7871,7876,7877,7881",7
test_q053,29608,29608.jpg,data/images/29608.jpg,29608,indigo nation men striped blue shirt|shirts|men|blue,test,Apparel,Shirts,Indigo Nation Men Striped Blue Shirt,"29649,29653,31611,31649",4
val_q033,47384,47384.jpg,data/images/47384.jpg,47384,baggit women teal purse|clutches|women|teal,validation,Accessories,Clutches,Baggit Women Teal Purse,58254,1
val_q034,35001,35001.jpg,data/images/35001.jpg,35001,fabindia women printed beige & black stole|stoles|women|beige,validation,Accessories,Stoles,Fabindia Women Printed Beige & Black Stole,"35006,35009,35012",3
val_q035,40655,40655.jpg,data/images/40655.jpg,40655,span women green kurta|kurtas|women|green,validation,Apparel,Kurtas,Span Women Green Kurta,"40602,40604,40611,40612,40617,40636,40637,40641,40645,40646,40653,40657,40663",13
val_q036,28773,28773.jpg,data/images/28773.jpg,28773,aurelia women printed green kurti|kurtis|women|green,validation,Apparel,Kurtis,Aurelia Women Printed Green Kurti,"24173,28770,28771,28779",4
test_q054,35465,35465.jpg,data/images/35465.jpg,35465,franco leone men blue shoes|casual shoes|men|blue,test,Footwear,Casual Shoes,Franco Leone Men Blue Shoes,31332,1
test_q055,5721,5721.jpg,data/images/5721.jpg,5721,basics men blue & white striped polo t-shirt|tshirts|men|blue,test,Apparel,Tshirts,Basics Men Blue & White Striped Polo T-shirt,3794,1
test_q056,22594,22594.jpg,data/images/22594.jpg,22594,nike men navy blue t-shirt|tshirts|men|navy blue,test,Apparel,Tshirts,Nike Men Navy Blue T-shirt,22614,1
val_q037,34749,34749.jpg,data/images/34749.jpg,34749,puma men white benecio shoes|casual shoes|men|white,validation,Footwear,Casual Shoes,Puma Men White Benecio Shoes,38535,1
val_q038,26880,26880.jpg,data/images/26880.jpg,26880,jealous 21 women printed white t-shirt|tshirts|women|white,validation,Apparel,Tshirts,Jealous 21 Women Printed White T-shirt,"26866,26882,26896,26937",4
test_q057,53002,53002.jpg,data/images/53002.jpg,53002,fnf purple printed sari|sarees|women|purple,test,Apparel,Sarees,FNF Purple Printed Sari,"52892,52897,52903,52973",4
test_q058,29467,29467.jpg,data/images/29467.jpg,29467,giordano men silver dial watch|watches|men|silver,test,Accessories,Watches,Giordano Men Silver Dial Watch,"29413,29416,29466",3
test_q059,40258,40258.jpg,data/images/40258.jpg,40258,scullers men white & navy blue shirt|shirts|men|white,test,Apparel,Shirts,Scullers Men White & Navy Blue Shirt,43036,1
test_q060,36446,36446.jpg,data/images/36446.jpg,36446,spinn men orbit black sports shoes|sports shoes|men|black,test,Footwear,Sports Shoes,Spinn Men Orbit Black Sports Shoes,36445,1
test_q061,22404,22404.jpg,data/images/22404.jpg,22404,mark taylor men striped green shirt|shirts|men|green,test,Apparel,Shirts,Mark Taylor Men Striped Green Shirt,27153,1
test_q062,15569,15569.jpg,data/images/15569.jpg,15569,catwalk women casual red flats|heels|women|red,test,Footwear,Heels,Catwalk Women Casual Red Flats,14371,1
val_q039,36719,36719.jpg,data/images/36719.jpg,36719,gini and jony boys printed black t-shirt|tshirts|boys|black,validation,Apparel,Tshirts,Gini and Jony Boys Printed Black T-Shirt,"31103,31153,34174,34175,39838,39839,39855,39856",8
test_q063,17512,17512.jpg,data/images/17512.jpg,17512,classic polo men stripes blue polo t-shirt|tshirts|men|navy blue,test,Apparel,Tshirts,Classic Polo Men Stripes Blue Polo T-Shirt,17500,1
test_q064,44408,44408.jpg,data/images/44408.jpg,44408,force 10 men grey sports shoes|sports shoes|men|grey,test,Footwear,Sports Shoes,Force 10 Men Grey Sports Shoes,51741,1
val_q040,35681,35681.jpg,data/images/35681.jpg,35681,u.s. polo assn. men brown shoes|casual shoes|men|brown,validation,Footwear,Casual Shoes,U.S. Polo Assn. Men Brown Shoes,"35659,35678,35680,35682,35691",5
val_q041,28445,28445.jpg,data/images/28445.jpg,28445,kiara women pink handbag|handbags|women|pink,validation,Accessories,Handbags,Kiara Women Pink Handbag,"28446,53661,53667,53678,53679,53887,53895",7
test_q065,16888,16888.jpg,data/images/16888.jpg,16888,police men casual black sunglasses|sunglasses|men|black,test,Accessories,Sunglasses,Police Men Casual Black Sunglasses,"16883,16887,16889,16891",4
val_q042,57213,57213.jpg,data/images/57213.jpg,57213,kraus jeans women blue jeggings|jeggings|women|blue,validation,Apparel,Jeggings,Kraus Jeans Women Blue Jeggings,"51615,51618,57208,57210,57212",5
val_q043,50212,50212.jpg,data/images/50212.jpg,50212,stoln women brown sunglasses|sunglasses|women|brown,validation,Accessories,Sunglasses,Stoln Women Brown Sunglasses,"50200,50205,50209,50230",4
test_q066,45949,45949.jpg,data/images/45949.jpg,45949,tokyo talkies women white top|tops|women|white,test,Apparel,Tops,Tokyo Talkies Women White Top,40373,1
val_q044,17364,17364.jpg,data/images/17364.jpg,17364,arrow men formal red tie+cufflink+pocket square - combo pack|accessory gift set|men|red,validation,Accessories,Accessory Gift Set,Arrow Men Formal Red Tie+Cufflink+Pocket square - Combo Pack,"17360,17371,17376",3
test_q067,29837,29837.jpg,data/images/29837.jpg,29837,basics men yellow checked shirt|shirts|men|yellow,test,Apparel,Shirts,Basics Men Yellow Checked Shirt,41611,1
val_q045,18546,18546.jpg,data/images/18546.jpg,18546,catwalk women tan heels|heels|women|tan,validation,Footwear,Heels,Catwalk Women Tan Heels,"19036,46599",2
val_q046,29202,29202.jpg,data/images/29202.jpg,29202,fila men white socks|socks|men|white,validation,Accessories,Socks,Fila Men White Socks,"29201,29207,58634",3
test_q068,12238,12238.jpg,data/images/12238.jpg,12238,genesis men stripes blue shirts|shirts|men|blue,test,Apparel,Shirts,Genesis Men Stripes Blue Shirts,"12271,12297",2
test_q069,11084,11084.jpg,data/images/11084.jpg,11084,scullers men check blue shirts|shirts|men|blue,test,Apparel,Shirts,Scullers Men Check Blue Shirts,"11053,11054,11056,11083,11090,13856,13857,13858,13859,13862,13863",11
test_q070,35409,35409.jpg,data/images/35409.jpg,35409,enroute men black formal shoes|formal shoes|men|black,test,Footwear,Formal Shoes,Enroute Men Black Formal Shoes,"35399,35407,35411,35414,35416,35418,58555",7
test_q071,15000,15000.jpg,data/images/15000.jpg,15000,adidas men solid white tshirts|tshirts|men|white,test,Apparel,Tshirts,ADIDAS Men Solid White Tshirts,14317,1
test_q072,53043,53043.jpg,data/images/53043.jpg,53043,fnf printed purple sari|sarees|women|purple,test,Apparel,Sarees,FNF Printed Purple Sari,"52937,52962,52965",3
val_q047,45784,45784.jpg,data/images/45784.jpg,45784,senorita women black sandals|heels|women|black,validation,Footwear,Heels,Senorita Women Black Sandals,"44454,44456,44458,45795",4
test_q073,39035,39035.jpg,data/images/39035.jpg,39035,belmonte men steel bright assorted cufflinks|cufflinks|men|steel,test,Accessories,Cufflinks,Belmonte Men Steel Bright Assorted Cufflinks,"39032,39033,39037,39041,39043",5
test_q074,16824,16824.jpg,data/images/16824.jpg,16824,little miss women printed purple t-shirt|tshirts|women|purple,test,Apparel,Tshirts,Little Miss Women Printed Purple T-shirt,"9821,9836,16821,16825",4
test_q075,53878,53878.jpg,data/images/53878.jpg,53878,u.s. polo assn. men navy blue flip flops|flip flops|men|navy blue,test,Footwear,Flip Flops,U.S. Polo Assn. Men Navy Blue Flip Flops,"53875,53880",2
val_q048,28710,28710.jpg,data/images/28710.jpg,28710,w women printed multi coloured kurta|kurtas|women|multi,validation,Apparel,Kurtas,W Women Printed Multi Coloured Kurta,28723,1
test_q076,59919,59919.jpg,data/images/59919.jpg,59919,diva women multi colour kurta|kurtas|women|multi,test,Apparel,Kurtas,Diva Women Multi Colour Kurta,59920,1
val_q049,24129,24129.jpg,data/images/24129.jpg,24129,adidas men printed black sweatshirt|sweatshirts|men|black,validation,Apparel,Sweatshirts,ADIDAS Men Printed Black Sweatshirt,24304,1
test_q077,16807,16807.jpg,data/images/16807.jpg,16807,locomotive men check blue shirt|shirts|men|blue,test,Apparel,Shirts,Locomotive Men Check Blue Shirt,"16456,16460,16466,16468,16470,16472,16482,16532,16812,16814,16817,21389",12
test_q078,17787,17787.jpg,data/images/17787.jpg,17787,reid & taylor men solid grey socks|socks|men|grey,test,Accessories,Socks,Reid & Taylor Men Solid Grey Socks,"12398,12404,17786,17792",4
val_q050,51173,51173.jpg,data/images/51173.jpg,51173,raymond men navy socks|socks|men|navy blue,validation,Accessories,Socks,Raymond Men Navy Socks,"51152,51157,51177,51183,51341,51347",6
test_q079,59917,59917.jpg,data/images/59917.jpg,59917,diva women pink kurta|kurtas|women|pink,test,Apparel,Kurtas,Diva Women Pink Kurta,"39466,39478",2
val_q051,21500,21500.jpg,data/images/21500.jpg,21500,kiara women square design black handbag|handbags|women|black,validation,Accessories,Handbags,Kiara Women Square Design Black Handbag,21499,1
test_q080,12485,12485.jpg,data/images/12485.jpg,12485,clarks men leather brown sandals|sandals|men|brown,test,Footwear,Sandals,Clarks Men Leather Brown Sandals,12489,1
test_q081,32846,32846.jpg,data/images/32846.jpg,32846,grendha women jola cigana brown flats|heels|women|brown,test,Footwear,Heels,Grendha Women Jola Cigana Brown Flats,32839,1
val_q052,49530,49530.jpg,data/images/49530.jpg,49530,rocia women red purse|clutches|women|red,validation,Accessories,Clutches,Rocia Women Red Purse,53075,1
test_q082,22068,22068.jpg,data/images/22068.jpg,22068,vishudh women printed grey kurta|kurtas|women|grey,test,Apparel,Kurtas,Vishudh Women Printed Grey Kurta,"22054,32270",2
test_q083,25465,25465.jpg,data/images/25465.jpg,25465,nike men downshifter 4 msl white sports shoes|sports shoes|men|white,test,Footwear,Sports Shoes,Nike Men Downshifter 4 MSL White Sports Shoes,15743,1
val_q053,39739,39739.jpg,data/images/39739.jpg,39739,arrow men black sandals|sandals|men|black,validation,Footwear,Sandals,Arrow Men Black Sandals,"39737,45577,45579,45580",4
test_q084,19059,19059.jpg,data/images/19059.jpg,19059,aurelia women solid black kurta|kurtas|women|black,test,Apparel,Kurtas,Aurelia Women Solid Black Kurta,19055,1
test_q085,26476,26476.jpg,data/images/26476.jpg,26476,puma men graphic black t-shirt|tshirts|men|black,test,Apparel,Tshirts,Puma Men Graphic Black T-shirt,"26489,26726",2
val_q054,49704,49704.jpg,data/images/49704.jpg,49704,park avenue men blue tie|ties|men|blue,validation,Accessories,Ties,Park Avenue Men Blue Tie,"49684,49686,49688,49694,49708,49709,49710,49713,49714,49716,49719,49723,49732,49744,50310,50318",16
test_q086,12040,12040.jpg,data/images/12040.jpg,12040,mark taylor men solid blue shirts|shirts|men|blue,test,Apparel,Shirts,Mark Taylor Men Solid Blue Shirts,"8869,9069,9070",3
test_q087,13355,13355.jpg,data/images/13355.jpg,13355,timberland men toddler brown casual shoes|casual shoes|men|brown,test,Footwear,Casual Shoes,Timberland Men Toddler Brown Casual Shoes,"13369,13384",2
val_q055,16898,16898.jpg,data/images/16898.jpg,16898,police men casual blue sunglasses|sunglasses|men|blue,validation,Accessories,Sunglasses,Police Men Casual Blue Sunglasses,"16885,16894",2
val_q056,43270,43270.jpg,data/images/43270.jpg,43270,aneri women red kurta|kurtas|women|red,validation,Apparel,Kurtas,Aneri Women Red Kurta,"39169,39173,43252",3
test_q088,34593,34593.jpg,data/images/34593.jpg,34593,tonga women pink printed top|tops|women|pink,test,Apparel,Tops,Tonga Women Pink Printed Top,34587,1
val_q057,12765,12765.jpg,data/images/12765.jpg,12765,spykar women washed black jeans|jeans|women|black,validation,Apparel,Jeans,Spykar Women Washed Black Jeans,13351,1
test_q089,7910,7910.jpg,data/images/7910.jpg,7910,proline men multicoloured striped polo t-shirt|tshirts|men|multi,test,Apparel,Tshirts,Proline Men Multicoloured Striped Polo T-shirt,"7873,7918",2
test_q090,13389,13389.jpg,data/images/13389.jpg,13389,united colors of benetton men check green shirts|shirts|men|green,test,Apparel,Shirts,United Colors of Benetton Men Check Green Shirts,"13393,13404,13405,13934",4
test_q091,41976,41976.jpg,data/images/41976.jpg,41976,gini and jony girls white pedal pusher|capris|girls|white,test,Apparel,Capris,Gini and Jony Girls White Pedal Pusher,"40161,41975",2
test_q092,12519,12519.jpg,data/images/12519.jpg,12519,red tape men beige shoes|casual shoes|men|beige,test,Footwear,Casual Shoes,Red Tape Men Beige Shoes,34542,1
test_q093,39656,39656.jpg,data/images/39656.jpg,39656,lotto men black shoes|casual shoes|men|black,test,Footwear,Casual Shoes,Lotto Men Black Shoes,"39639,39640,39645,39658,39659,39663,39678,39685",8
test_q094,51165,51165.jpg,data/images/51165.jpg,51165,raymond men navy blue socks|socks|men|navy blue,test,Accessories,Socks,Raymond Men Navy Blue Socks,"51175,51179,51185,51338",4
