condition,model,reranked,query_type,variation_type,query_id,query_path,category,relevant_count,relevant_catalog_item_ids,retrieved_catalog_item_ids,hits_top5,P@1,P@5,P@10,R@1,R@5,R@10,Hit@1,Hit@5,Hit@10,MRR,embedding_latency_ms,search_latency_ms,rerank_latency_ms,total_latency_ms
CLIP baseline — clean test,CLIP,False,clean,clean,test_q018,data/images/47734.jpg,Accessories,4,"[3124, 3125, 3126, 3127]","[23950, 17469, 2933, 2936, 34073, 37774, 5848, 3639, 24404, 4060]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.47,17.93,0.04,136.44
CLIP baseline — clean test,CLIP,False,clean,clean,test_q019,data/images/33995.jpg,Apparel,6,"[3202, 3203, 3204, 3205, 3206, 3207]","[18364, 14756, 28854, 25902, 22025, 33666, 17559, 24442, 2686, 19394]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.29,17.36,0.048,133.7
CLIP baseline — clean test,CLIP,False,clean,clean,test_q020,data/images/46878.jpg,Accessories,4,"[3376, 3373, 3374, 3375]","[26435, 2146, 1028, 28083, 17180, 32407, 6670, 13611, 3448, 13795]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.08,17.92,0.042,131.04
CLIP baseline — clean test,CLIP,False,clean,clean,test_q021,data/images/27693.jpg,Accessories,3,"[3729, 3730, 3731]","[3781, 3640, 30001, 6943, 5357, 26496, 37683, 3760, 20254, 4060]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.7,17.41,0.045,132.16
CLIP baseline — clean test,CLIP,False,clean,clean,test_q022,data/images/32162.jpg,Accessories,1,[4613],"[10064, 31594, 39367, 9404, 21521, 23620, 34291, 31153, 29181, 7337]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.53,17.96,0.048,135.54
CLIP baseline — clean test,CLIP,False,clean,clean,test_q023,data/images/51255.jpg,Accessories,2,"[4981, 4982]","[11173, 11431, 11432, 90, 4693, 27779, 11179, 38986, 11435, 29491]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.29,17.39,0.045,138.72
CLIP baseline — clean test,CLIP,False,clean,clean,test_q024,data/images/52884.jpg,Apparel,1,[5033],"[12083, 5033, 35442, 39594, 23117, 18835, 16224, 30470, 22222, 38341]",1,0.0,0.2,0.1,0.0,1.0,1.0,0.0,1.0,1.0,0.5,116.77,18.42,0.064,135.26
CLIP baseline — clean test,CLIP,False,clean,clean,test_q025,data/images/57991.jpg,Apparel,5,"[5280, 5281, 5277, 5278, 5279]","[7117, 36800, 27963, 6148, 10128, 31555, 1910, 33186, 6036, 31452]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.32,20.47,0.044,134.83
CLIP baseline — clean test,CLIP,False,clean,clean,test_q026,data/images/25914.jpg,Apparel,1,[5554],"[41598, 34564, 34282, 9378, 43956, 36844, 41754, 8652, 23885, 8651]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.22,17.97,0.059,155.25
CLIP baseline — clean test,CLIP,False,clean,clean,test_q027,data/images/39745.jpg,Apparel,1,[5683],"[5683, 9575, 4385, 4384, 5221, 5220, 36418, 21579, 21577, 21582]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130.4,17.94,0.046,148.39
CLIP baseline — clean test,CLIP,False,clean,clean,test_q028,data/images/12130.jpg,Apparel,1,[5947],"[42203, 31009, 21160, 7804, 21892, 15805, 8309, 34409, 4672, 32162]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.32,17.49,0.042,143.86
CLIP baseline — clean test,CLIP,False,clean,clean,test_q029,data/images/48511.jpg,Apparel,5,"[6216, 6217, 6218, 6219, 6220]","[17715, 18364, 19295, 41192, 16937, 33219, 697, 32579, 30285, 18037]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.1,23.47,0.044,169.61
CLIP baseline — clean test,CLIP,False,clean,clean,test_q030,data/images/16538.jpg,Apparel,13,"[6308, 6309, 6310, 6311, 6312, 6313, 6314, 6315, 6316, 6317, 6318, 6319, 6320]","[41390, 24853, 17482, 7931, 7206, 35013, 9468, 8662, 31539, 34760]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.26,27.83,0.046,275.14
CLIP baseline — clean test,CLIP,False,clean,clean,test_q031,data/images/14808.jpg,Accessories,4,"[6404, 6405, 6406, 6407]","[23913, 21538, 34726, 8710, 23900, 16250, 25583, 33056, 18257, 5923]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.75,21.32,0.036,198.11
CLIP baseline — clean test,CLIP,False,clean,clean,test_q032,data/images/29607.jpg,Apparel,6,"[6578, 6579, 6580, 6581, 6582, 6583]","[10395, 10393, 13534, 13532, 4697, 6582, 6579, 4705, 4700, 10841]",0,0.0,0.0,0.2,0.0,0.0,0.3333,0.0,0.0,1.0,0.1667,143.46,20.31,0.052,163.82
CLIP baseline — clean test,CLIP,False,clean,clean,test_q033,data/images/54580.jpg,Apparel,2,"[6672, 6673]","[32437, 29987, 323, 30711, 15095, 6672, 12797, 6775, 20264, 10741]",0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,1.0,0.1667,138.15,17.84,0.042,156.02
CLIP baseline — clean test,CLIP,False,clean,clean,test_q034,data/images/14096.jpg,Apparel,1,[6740],"[25637, 24869, 14989, 35786, 20439, 949, 29481, 26638, 25996, 27957]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.63,18.43,0.042,130.1
CLIP baseline — clean test,CLIP,False,clean,clean,test_q035,data/images/10457.jpg,Apparel,1,[6747],"[27120, 28198, 16783, 27087, 8456, 15738, 22088, 30074, 22366, 30827]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.3,20.02,0.043,158.36
CLIP baseline — clean test,CLIP,False,clean,clean,test_q036,data/images/27999.jpg,Apparel,1,[7054],"[7054, 1868, 34253, 30762, 23501, 32521, 15061, 15062, 36019, 11817]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,116.34,18.05,0.048,134.44
CLIP baseline — clean test,CLIP,False,clean,clean,test_q037,data/images/47207.jpg,Footwear,2,"[7320, 7319]","[11789, 11788, 16272, 7320, 4583, 11777, 11775, 11786, 7319, 11774]",1,0.0,0.2,0.2,0.0,0.5,1.0,0.0,1.0,1.0,0.25,113.1,17.18,0.042,130.32
CLIP baseline — clean test,CLIP,False,clean,clean,test_q038,data/images/42239.jpg,Apparel,2,"[7416, 7415]","[2366, 1195, 8547, 8956, 34236, 23554, 34813, 36382, 21999, 3917]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.95,17.63,0.043,150.62
CLIP baseline — clean test,CLIP,False,clean,clean,test_q039,data/images/12996.jpg,Footwear,1,[7543],"[11084, 21424, 13716, 9293, 9149, 11656, 21668, 13706, 11517, 2863]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.06,19.85,0.041,141.95
CLIP baseline — clean test,CLIP,False,clean,clean,test_q040,data/images/54382.jpg,Accessories,4,"[7900, 7901, 7902, 7903]","[15503, 20170, 15509, 26791, 7902, 15162, 19039, 19781, 43851, 43]",1,0.0,0.2,0.1,0.0,0.25,0.25,0.0,1.0,1.0,0.2,139.85,18.18,0.046,158.08
CLIP baseline — clean test,CLIP,False,clean,clean,test_q041,data/images/39717.jpg,Apparel,2,"[7953, 7954]","[43101, 20913, 27656, 36436, 16245, 29876, 2247, 702, 32489, 840]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.45,18.24,0.043,153.74
CLIP baseline — clean test,CLIP,False,clean,clean,test_q042,data/images/23837.jpg,Footwear,1,[8268],"[8268, 5950, 29385, 1986, 42125, 7129, 10378, 41336, 43879, 25260]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112.5,16.72,0.045,129.26
CLIP baseline — clean test,CLIP,False,clean,clean,test_q043,data/images/33602.jpg,Accessories,2,"[8395, 8396]","[5209, 5985, 31252, 5212, 11368, 26000, 19761, 19763, 11367, 19764]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.41,17.8,0.042,139.25
CLIP baseline — clean test,CLIP,False,clean,clean,test_q044,data/images/31723.jpg,Accessories,1,[8464],"[8464, 25501, 25508, 25509, 25505, 29350, 25507, 25502, 10218, 679]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113.52,17.83,0.041,131.39
CLIP baseline — clean test,CLIP,False,clean,clean,test_q045,data/images/33074.jpg,Apparel,1,[8478],"[6102, 33622, 29416, 32467, 24248, 31802, 43397, 29659, 20333, 7661]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.56,17.92,0.042,134.52
CLIP baseline — clean test,CLIP,False,clean,clean,test_q046,data/images/42663.jpg,Apparel,2,"[8928, 8927]","[26655, 4387, 12397, 41171, 4394, 5460, 42028, 6755, 4395, 6749]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.59,22.57,0.052,144.21
CLIP baseline — clean test,CLIP,False,clean,clean,test_q047,data/images/17644.jpg,Footwear,1,[9286],"[3430, 18802, 41886, 17018, 16659, 40577, 23145, 652, 10006, 9286]",0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.1,113.0,17.62,0.05,130.67
CLIP baseline — clean test,CLIP,False,clean,clean,test_q048,data/images/50946.jpg,Apparel,2,"[9334, 9335]","[27508, 19216, 9335, 17238, 27507, 13052, 11109, 13051, 26378, 28084]",1,0.0,0.2,0.1,0.0,0.5,0.5,0.0,1.0,1.0,0.3333,109.78,18.51,0.043,128.33
CLIP baseline — clean test,CLIP,False,clean,clean,test_q049,data/images/30610.jpg,Apparel,6,"[9428, 9429, 9430, 9431, 9432, 9433]","[19005, 21756, 36058, 36679, 17700, 9430, 43773, 26958, 36964, 38386]",0,0.0,0.0,0.1,0.0,0.0,0.1667,0.0,0.0,1.0,0.1667,115.54,17.3,0.044,132.89
CLIP baseline — clean test,CLIP,False,clean,clean,test_q050,data/images/25118.jpg,Accessories,1,[9614],"[9614, 4344, 16086, 37305, 6262, 16144, 4341, 36064, 16088, 16085]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121.33,16.56,0.044,137.93
CLIP baseline — clean test,CLIP,False,clean,clean,test_q051,data/images/35208.jpg,Accessories,7,"[9847, 9848, 9849, 9850, 9851, 9852, 9853]","[9852, 9851, 9853, 24820, 9850, 4503, 4498, 9849, 21111, 6628]",4,1.0,0.8,0.5,0.1429,0.5714,0.7143,1.0,1.0,1.0,1.0,114.71,17.72,0.04,132.46
CLIP baseline — clean test,CLIP,False,clean,clean,test_q052,data/images/7869.jpg,Footwear,7,"[10336, 10337, 10331, 10332, 10333, 10334, 10335]","[10334, 10332, 10335, 10337, 10336, 10331, 16272, 36532, 4506, 10333]",5,1.0,1.0,0.7,0.1429,0.7143,1.0,1.0,1.0,1.0,1.0,109.18,17.63,0.042,126.85
CLIP baseline — clean test,CLIP,False,clean,clean,test_q053,data/images/29608.jpg,Apparel,4,"[10392, 10393, 10394, 10395]","[10394, 10395, 10393, 34123, 25772, 25771, 12046, 6582, 6579, 4697]",3,1.0,0.6,0.3,0.25,0.75,0.75,1.0,1.0,1.0,1.0,114.59,19.19,0.043,133.82
CLIP baseline — clean test,CLIP,False,clean,clean,test_q054,data/images/35465.jpg,Footwear,1,[10749],"[34448, 15635, 15981, 29648, 31406, 15637, 26906, 14555, 26583, 24339]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.99,17.82,0.044,134.86
CLIP baseline — clean test,CLIP,False,clean,clean,test_q055,data/images/5721.jpg,Apparel,1,[10778],"[38258, 17628, 12707, 18372, 37085, 35566, 22563, 15892, 28541, 7386]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.33,17.84,0.046,152.22
CLIP baseline — clean test,CLIP,False,clean,clean,test_q056,data/images/22594.jpg,Apparel,1,[10836],"[26853, 38668, 17545, 32460, 9794, 26856, 34538, 32914, 21591, 21051]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.76,17.43,0.045,130.24
CLIP baseline — clean test,CLIP,False,clean,clean,test_q057,data/images/53002.jpg,Apparel,4,"[11129, 11130, 11131, 11132]","[39683, 17907, 23117, 10142, 12084, 26527, 14786, 35710, 18687, 14239]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.68,17.99,0.042,131.71
CLIP baseline — clean test,CLIP,False,clean,clean,test_q058,data/images/29467.jpg,Accessories,3,"[11180, 11181, 11182]","[11852, 11850, 11843, 11182, 23129, 7640, 2396, 24283, 7183, 1060]",1,0.0,0.2,0.1,0.0,0.3333,0.3333,0.0,1.0,1.0,0.25,115.66,17.62,0.046,133.33
CLIP baseline — clean test,CLIP,False,clean,clean,test_q059,data/images/40258.jpg,Apparel,1,[11262],"[11262, 43899, 40523, 35624, 21336, 44021, 41874, 41670, 16029, 10769]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,114.69,18.42,0.043,133.15
CLIP baseline — clean test,CLIP,False,clean,clean,test_q060,data/images/36446.jpg,Footwear,1,[11286],"[11286, 34531, 36879, 35834, 36514, 5959, 25758, 28565, 28742, 31022]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.37,17.72,0.044,133.14
CLIP baseline — clean test,CLIP,False,clean,clean,test_q061,data/images/22404.jpg,Apparel,1,[11402],"[24120, 9489, 9486, 24473, 16368, 33961, 9482, 3411, 8771, 24715]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.31,18.03,0.041,142.38
CLIP baseline — clean test,CLIP,False,clean,clean,test_q062,data/images/15569.jpg,Footwear,1,[11427],"[37631, 42165, 2212, 2207, 40384, 32570, 2202, 42256, 35228, 11253]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.94,17.93,0.067,150.93
CLIP baseline — clean test,CLIP,False,clean,clean,test_q063,data/images/17512.jpg,Apparel,1,[11563],"[15385, 15383, 10729, 11794, 16652, 15386, 26785, 15265, 42084, 11793]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.59,17.82,0.042,134.45
CLIP baseline — clean test,CLIP,False,clean,clean,test_q064,data/images/44408.jpg,Footwear,1,[11720],"[14884, 28000, 43268, 6989, 41297, 28031, 27965, 29316, 11861, 14243]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.53,21.27,0.046,192.85
CLIP baseline — clean test,CLIP,False,clean,clean,test_q065,data/images/16888.jpg,Accessories,4,"[11890, 11891, 11892, 11893]","[11892, 23973, 19248, 43000, 6488, 15001, 11643, 21224, 912, 9029]",1,1.0,0.2,0.1,0.25,0.25,0.25,1.0,1.0,1.0,1.0,219.37,19.8,0.045,239.21
CLIP baseline — clean test,CLIP,False,clean,clean,test_q066,data/images/45949.jpg,Apparel,1,[12094],"[11470, 803, 11468, 26096, 4660, 29474, 41088, 17556, 20960, 34068]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.66,24.03,0.041,312.73
CLIP baseline — clean test,CLIP,False,clean,clean,test_q067,data/images/29837.jpg,Apparel,1,[12152],"[18762, 36143, 19607, 23418, 21156, 21613, 9468, 1105, 37263, 22571]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.94,19.01,0.049,192.0
CLIP baseline — clean test,CLIP,False,clean,clean,test_q068,data/images/12238.jpg,Apparel,2,"[12508, 12509]","[41153, 822, 38532, 43428, 15219, 15217, 3928, 23121, 10321, 21874]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.92,18.0,0.046,165.96
CLIP baseline — clean test,CLIP,False,clean,clean,test_q069,data/images/11084.jpg,Apparel,11,"[12544, 12545, 12535, 12536, 12537, 12538, 12539, 12540, 12541, 12542, 12543]","[12538, 28190, 28189, 28564, 7598, 39270, 20017, 24287, 12048, 4090]",1,1.0,0.2,0.1,0.0909,0.0909,0.0909,1.0,1.0,1.0,1.0,148.55,17.06,0.04,165.65
CLIP baseline — clean test,CLIP,False,clean,clean,test_q070,data/images/35409.jpg,Footwear,7,"[12757, 12758, 12759, 12760, 12761, 12762, 12763]","[13858, 13849, 13850, 13856, 13853, 39992, 12761, 13854, 2137, 12992]",0,0.0,0.0,0.1,0.0,0.0,0.1429,0.0,0.0,1.0,0.1429,147.48,17.72,0.041,165.24
CLIP baseline — clean test,CLIP,False,clean,clean,test_q071,data/images/15000.jpg,Apparel,1,[12780],"[12780, 17536, 40418, 13801, 29691, 42636, 9522, 10652, 33389, 4963]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,114.38,17.52,0.042,131.95
CLIP baseline — clean test,CLIP,False,clean,clean,test_q072,data/images/53043.jpg,Apparel,3,"[12848, 12846, 12847]","[4069, 5752, 8866, 31933, 18424, 5751, 29791, 10161, 12847, 13651]",0,0.0,0.0,0.1,0.0,0.0,0.3333,0.0,0.0,1.0,0.1111,138.04,17.88,0.043,155.96
CLIP baseline — clean test,CLIP,False,clean,clean,test_q073,data/images/39035.jpg,Accessories,5,"[13195, 13196, 13197, 13198, 13199]","[35364, 13197, 11981, 14755, 13198, 16187, 16193, 15891, 37807, 14249]",2,0.0,0.4,0.2,0.0,0.4,0.4,0.0,1.0,1.0,0.5,116.44,17.49,0.042,133.97
CLIP baseline — clean test,CLIP,False,clean,clean,test_q074,data/images/16824.jpg,Apparel,4,"[13300, 13301, 13302, 13303]","[39980, 11230, 15812, 19893, 9577, 38605, 34643, 13303, 42917, 36191]",0,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.0,1.0,0.125,115.37,18.2,0.041,133.62
CLIP baseline — clean test,CLIP,False,clean,clean,test_q075,data/images/53878.jpg,Footwear,2,"[13521, 13522]","[7969, 34463, 29859, 13386, 13522, 42128, 26057, 24785, 27856, 38001]",1,0.0,0.2,0.1,0.0,0.5,0.5,0.0,1.0,1.0,0.2,114.86,17.86,0.046,132.77
CLIP baseline — clean test,CLIP,False,clean,clean,test_q076,data/images/59919.jpg,Apparel,1,[13802],"[13802, 12795, 33559, 11126, 12801, 35461, 25451, 40019, 12797, 10741]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112.12,16.31,0.069,128.5
CLIP baseline — clean test,CLIP,False,clean,clean,test_q077,data/images/16807.jpg,Apparel,12,"[13931, 13932, 13933, 13934, 13935, 13936, 13937, 13938, 13939, 13940, 13941, 13942]","[1, 16903, 8662, 31398, 7998, 12710, 12476, 4267, 17482, 42859]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.85,19.42,0.064,149.33
CLIP baseline — clean test,CLIP,False,clean,clean,test_q078,data/images/17787.jpg,Accessories,4,"[14000, 14001, 14002, 14003]","[22577, 14003, 19406, 14002, 3447, 19515, 10029, 14001, 13914, 19517]",2,0.0,0.4,0.3,0.0,0.5,0.75,0.0,1.0,1.0,0.5,112.05,17.86,0.066,129.97
CLIP baseline — clean test,CLIP,False,clean,clean,test_q079,data/images/59917.jpg,Apparel,2,"[14236, 14237]","[33559, 35461, 16834, 3982, 13563, 13564, 13566, 40019, 38378, 40042]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.82,17.81,0.044,134.67
CLIP baseline — clean test,CLIP,False,clean,clean,test_q080,data/images/12485.jpg,Footwear,1,[14261],"[26113, 11497, 33370, 23505, 26851, 26611, 11493, 5586, 9366, 7586]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.72,18.52,0.051,131.29
CLIP baseline — clean test,CLIP,False,clean,clean,test_q081,data/images/32846.jpg,Footwear,1,[14308],"[14754, 14308, 14753, 23978, 22307, 18281, 39854, 40870, 17299, 34009]",1,0.0,0.2,0.1,0.0,1.0,1.0,0.0,1.0,1.0,0.5,117.51,17.53,0.044,135.08
CLIP baseline — clean test,CLIP,False,clean,clean,test_q082,data/images/22068.jpg,Apparel,2,"[14421, 14422]","[11359, 22822, 24736, 19323, 6026, 21027, 3323, 17547, 5321, 35325]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.23,18.15,0.048,131.42
CLIP baseline — clean test,CLIP,False,clean,clean,test_q083,data/images/25465.jpg,Footwear,1,[14606],"[18700, 14606, 34634, 22955, 33770, 21995, 21994, 32062, 41970, 2445]",1,0.0,0.2,0.1,0.0,1.0,1.0,0.0,1.0,1.0,0.5,140.19,19.58,0.044,159.81
CLIP baseline — clean test,CLIP,False,clean,clean,test_q084,data/images/19059.jpg,Apparel,1,[14641],"[14641, 29703, 15370, 13474, 1319, 7487, 32904, 6782, 33708, 1534]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112.75,17.52,0.047,130.31
CLIP baseline — clean test,CLIP,False,clean,clean,test_q085,data/images/26476.jpg,Apparel,2,"[14774, 14775]","[30320, 32009, 9122, 35909, 22909, 12818, 43161, 6874, 16344, 40611]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.7,17.73,0.043,132.46
CLIP baseline — clean test,CLIP,False,clean,clean,test_q086,data/images/12040.jpg,Apparel,3,"[14833, 14834, 14835]","[36653, 3928, 36149, 23956, 3927, 12836, 23955, 14835, 25080, 40634]",0,0.0,0.0,0.1,0.0,0.0,0.3333,0.0,0.0,1.0,0.125,112.77,17.57,0.043,130.39
